id,Hardness
10407,2.7204857
10408,3.0006459
10409,5.7866645
10410,3.4755988
10411,6.7292304
10412,4.435875
10413,4.318125
10414,4.7488985
10415,3.5282018
10416,4.8838305
10417,3.732087
10418,4.046833
10419,4.769896
10420,5.1060586
10421,5.796634
10422,6.206889
10423,4.1051044
10424,5.574321
10425,6.134234
10426,1.1675423
10427,5.7129707
10428,4.7515516
10429,5.910315
10430,3.7664227
10431,3.6819847
10432,5.639298
10433,6.107998
10434,6.01567
10435,6.1154637
10436,4.6858788
10437,5.227632
10438,5.9774365
10439,5.197334
10440,3.7062845
10441,2.6610055
10442,3.9289625
10443,1.9775999
10444,2.5292587
10445,4.557449
10446,3.2208683
10447,6.538203
10448,5.3816586
10449,5.150129
10450,5.0492573
10451,5.888661
10452,2.8440208
10453,6.808576
10454,4.9435935
10455,2.5988863
10456,3.127454
10457,2.4522653
10458,9.718955
10459,5.7109566
10460,2.6206305
10461,5.46848
10462,5.2151256
10463,5.4651513
10464,5.536625
10465,3.3070679
10466,5.8716316
10467,6.186185
10468,4.4134364
10469,3.9680777
10470,4.77383
10471,3.844364
10472,1.5756112
10473,6.259347
10474,3.5377393
10475,6.066314
10476,3.797985
10477,6.0819554
10478,3.2328072
10479,4.1638403
10480,3.7836347
10481,2.982609
10482,5.961257
10483,5.713193
10484,1.6142796
10485,5.1881676
10486,1.1698276
10487,2.4318204
10488,5.0680523
10489,3.5463858
10490,5.143878
10491,6.217866
10492,5.720479
10493,2.4230623
10494,3.1136436
10495,5.2240863
10496,3.8212633
10497,5.1315084
10498,6.176718
10499,6.573354
10500,3.6195333
10501,2.6689384
10502,10.457413
10503,6.0951114
10504,5.3463945
10505,2.1877632
10506,3.8811162
10507,6.094975
10508,1.9423039
10509,2.181359
10510,4.0768065
10511,2.006785
10512,3.8337984
10513,3.6442976
10514,5.1602874
10515,3.3800197
10516,1.9733634
10517,7.784882
10518,3.9800143
10519,6.5561924
10520,5.835853
10521,2.9102468
10522,5.4318876
10523,4.048399
10524,3.7533228
10525,4.2072015
10526,2.7040653
10527,3.442256
10528,6.110052
10529,5.9955306
10530,3.124534
10531,4.0137043
10532,3.4347882
10533,5.153195
10534,7.309519
10535,4.9820566
10536,4.1416044
10537,5.231219
10538,5.945194
10539,4.939711
10540,3.009489
10541,2.628921
10542,3.7100937
10543,6.3502827
10544,3.7787821
10545,4.8281107
10546,5.429727
10547,5.898109
10548,6.407236
10549,4.5149612
10550,5.100823
10551,3.8225393
10552,4.929317
10553,5.072182
10554,2.9820492
10555,2.6522655
10556,5.389344
10557,5.8403916
